Text,Difficulty,num_chars,num_words,avg_word_length,num_stopwords,ratio_num_words_over_stopwords,PRON,VERB,DET,NOUN,ADP,NUM,CCONJ,PUNCT,num_words_before_first_verb,AUX,ADJ,LOC,SCONJ,PROPN,ORG,ADV,MISC,PER,X,SYM,PART,INTJ,SPACE
Je recherche une personne pour garder mes enfants de 1 et 7 ans.,A1,64,13,4.0,5.0,2.6,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Il faut être disponible pour travailler les jeudis, vendredis et samedis soirs après 17 heures.",A1,95,15,5.4,3.0,5.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vous devez habiter dans le centre de Limoges ou avoir une voiture.,A1,66,12,4.583333333333333,5.0,2.4,1.0,3.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Expérience avec les enfants souhaitée.,A1,38,5,6.8,2.0,2.5,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Si vous êtes intéressé, appelez-moi.",A1,36,5,6.4,2.0,2.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pour aller à la salle internet à partir de l’escalier, marchez jusqu’à l’accueil",A1,80,13,5.230769230769231,4.0,3.25,0.0,2.0,1.0,3.0,6.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tournez à gauche.,A1,17,3,5.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"La salle internet est la deuxième salle après les toilettes, à gauche.",A1,70,12,4.916666666666667,4.0,3.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Le club de football de Briançon recherche un joueur (15-17 ans) du 1er septembre au 30 février.,A1,95,17,4.647058823529412,5.0,3.4,0.0,1.0,4.0,8.0,2.0,3.0,0.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qui propose un travail de serveur ?,A1,35,7,4.142857142857143,2.0,3.5,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
